ENTIDAD,MUN,LOC,NOM_MUN,POBTOT,TVIVHAB,P15YM_AN,VPH_AGUAFV,VPH_NODREN,VPH_PISODT,PSINDER,VPH_C_ELEC,TAMLOC,CVE_MUN,IML_MUNICIPAL,GM_MUNICIPAL,PROP_P15YM_AN,PROP_PSINDER,PROP_VPH_AGUAFV,PROP_VPH_NODREN,PROP_VPH_PISODT,PROP_VPH_C_ELEC,NORM_VS1,NORM_VS2,NORM_VS3,NORM_VS4,NORM_VS5,NORM_EF1,NORM_EF2
4,001,0,CalkinÃ­,59232,15289,4039,299,1839,14892,10632,15116,,001,22.2974,Medio,0.0681894921663965,0.1794975688816855,0.0195565439204656,0.1202825560860749,0.9740336189417228,0.9886846752567204,0.7179580637246994,0.057477074624931054,0.7516967001497311,0.8360429540191577,0.20653940448404245,0.17712005157781874,0.9701996876312882
4,002,0,Campeche,294077,85353,7485,637,1350,84110,57005,84565,,002,24.0267,Bajo,0.0254525175379237,0.193843789211669,0.0074631237332021,0.0158166672524691,0.9854369500779118,0.9907677527444848,0.0,0.0,0.015792801703774357,0.9649695677536927,0.2850803814029315,1.0,1.0
4,003,0,Carmen,248845,72119,7233,3998,979,69179,57600,70327,,003,23.5815,Bajo,0.02906628624244,0.2314693885752175,0.0554361541341394,0.0135747861173893,0.959234043733274,0.9751521790374242,0.060709360089211184,0.22800410517801523,0.0,0.6687182404291467,0.4910685276323314,0.8415103330833865,0.7766050581313342
4,004,0,ChampotÃ³n,78170,21474,4917,713,1746,20663,18824,21011,,004,22.3218,Bajo,0.0629013688115645,0.240808494307279,0.0332029430939741,0.0813076278290025,0.962233398528453,0.9784390425630995,0.629120450918034,0.12233507935079095,0.4771400772532784,0.7026290909089393,0.5421971504244888,0.24347743820823142,0.8236266213491156
4,005,0,HecelchakÃ¡n,31917,8292,1964,201,876,8158,7095,8215,,005,22.5769,Bajo,0.0615346053827114,0.2222953285083184,0.0242402315484804,0.1056439942112879,0.9838398456343465,0.9907139411480944,0.6061595643910936,0.0797374988181459,0.6485761995578416,0.9469126276166311,0.44084347717350764,0.08141026090247167,0.999230176318014
4,006,0,HopelchÃ©n,42140,10243,2408,154,1383,9926,9503,10033,,006,21.5745,Bajo,0.0571428571428571,0.2255102040816326,0.0150346578150932,0.1350190373913892,0.969052035536464,0.9794981938885092,0.5323805688009037,0.035985653579489026,0.8555069884939981,0.7797209309361016,0.45844389473248304,0.11723091585667533,0.838778741483071
4,007,0,Palizada,8683,2546,488,447,124,2427,1231,2465,,007,22.1741,Bajo,0.0562017735805597,0.1417712772083381,0.1755695208169678,0.0487038491751767,0.9532600157109192,0.9681853888452474,0.5165708738455655,0.7989686772223427,0.24746464842850543,0.6011755904719666,0.0,0.0,0.6769388070419596
4,008,0,Tenabo,11452,3066,731,38,462,3022,2125,3014,,008,22.3822,Bajo,0.0638316451274886,0.185557107928746,0.0123939986953685,0.1506849315068493,0.9856490541422048,0.9830397912589692,0.644748589978323,0.023435245263794383,0.9658644715052374,0.9673676265701953,0.2397134465304769,0.009702376363903937,0.889444503339672
4,009,0,EscÃ¡rcega,59923,16837,3731,329,1183,15904,13457,16424,,009,22.2633,Bajo,0.0622632378218714,0.2245715334679505,0.0195402981528775,0.0702619231454534,0.9445863277305934,0.9754706895527708,0.618400195360741,0.05739986245653358,0.3993292508824445,0.5031104543693697,0.45330497275109094,0.17954126575891574,0.7811616398743565
4,010,0,Calakmul,31714,8037,2695,1751,1250,7234,7855,7818,,010,20.4808,Medio,0.0849782430472346,0.2476824115532572,0.2178673634440711,0.1555306706482518,0.900087097175563,0.9727510265024264,1.0,1.0,1.0,0.0,0.5798296531562622,0.08069896353812624,0.7422543937858349
4,011,0,Candelaria,46913,13294,3576,1502,1854,12071,15220,12242,,011,20.9128,Medio,0.0762262059557052,0.3244303284803785,0.1129833007371746,0.1394614111629306,0.9080036106514217,0.9208665563412064,0.8529705095293559,0.5015116480018419,0.8868010330221457,0.08950448450867073,1.0,0.1339551637385509,0.0
4,012,0,Seybaplaya,15297,4274,719,274,233,4225,2757,4223,,012,22.9803,Muy bajo,0.047002680264104,0.1802314179250833,0.0641085634066448,0.0545156761815629,0.9885353299017314,0.9880673841834348,0.3620310805419661,0.26922194985843967,0.2884057268881494,1.0,0.21055699374823306,0.023174979151628975,0.9613687790768142
